Credits_Passed_Exam;Credits_Passed_Special;Credits_Internship_Enrolled;Sem1_Enrolled;Sem2_Enrolled;Sem1_Passed;Sem2_Passed;GPA;target_numeric;target
0.0;0.0;0.0;22.5;19.5;0.0;0.0;0.0;1.0;Enrolled
0.0;0.0;0.0;25.0;15.0;0.0;0.0;0.0;2.0;Graduate
60.0;0.0;0.0;28.5;31.5;28.5;31.5;6.2;2.0;Graduate
60.0;0.0;0.0;33.0;40.5;33.0;27.0;7.3;2.0;Graduate
48.0;0.0;9.0;33.0;18.0;33.0;6.0;6.0125;0.0;Dropout
23.0;0.0;0.0;9.0;12.0;9.0;5.0;3.725;2.0;Graduate
22.5;168.0;0.0;6.0;21.0;6.0;16.5;5.945454545454545;2.0;Graduate
48.0;0.0;0.0;9.0;12.0;9.0;12.0;5.8;2.0;Graduate
60.0;0.0;0.0;9.0;12.0;9.0;12.0;6.5874999999999995;2.0;Graduate
44.0;0.0;0.0;9.0;12.0;9.0;5.0;6.171428571428572;2.0;Graduate
0.0;0.0;0.0;30.0;30.0;0.0;0.0;0.9100000000000001;2.0;Graduate
60.0;0.0;0.0;12.0;30.0;12.0;30.0;6.966666666666667;1.0;Enrolled
35.0;0.0;0.0;15.0;20.0;15.0;20.0;8.666666666666666;0.0;Dropout
52.5;0.0;0.0;39.0;24.0;28.5;24.0;4.7749999999999995;2.0;Graduate
60.0;0.0;0.0;9.0;12.0;9.0;12.0;7.075;1.0;Enrolled
45.0;0.0;0.0;30.0;30.0;21.0;24.0;4.5;1.0;Enrolled
60.0;0.0;0.0;28.5;31.5;28.5;31.5;7.757142857142857;2.0;Graduate
40.5;0.0;0.0;9.0;15.0;9.0;10.5;6.76;2.0;Graduate
9.0;0.0;0.0;30.0;30.0;9.0;0.0;4.1;0.0;Dropout
60.0;0.0;0.0;30.0;30.0;30.0;30.0;9.271428571428572;2.0;Graduate
60.0;0.0;0.0;33.0;27.0;33.0;27.0;7.866666666666667;2.0;Graduate
0.0;0.0;0.0;18.0;15.0;0.0;0.0;0.225;2.0;Graduate
48.0;0.0;0.0;39.75;25.5;34.5;13.5;6.6625;2.0;Graduate
60.0;0.0;0.0;22.5;19.5;22.5;19.5;6.7125;1.0;Enrolled
42.0;28.5;0.0;24.0;18.0;24.0;18.0;6.890909090909091;2.0;Graduate
0.0;0.0;0.0;22.5;19.5;0.0;0.0;0.0;1.0;Enrolled
0.0;0.0;0.0;22.5;9.0;0.0;0.0;0.0;0.0;Dropout
40.5;0.0;0.0;15.0;25.5;15.0;25.5;6.3;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;5.65;1.0;Enrolled
42.0;0.0;0.0;12.0;36.0;12.0;12.0;5.211111111111111;0.0;Dropout
54.0;6.0;0.0;18.0;18.0;18.0;18.0;6.233333333333333;2.0;Graduate
16.5;18.0;0.0;24.0;21.0;7.5;0.0;3.1916666666666664;1.0;Enrolled
60.0;0.0;0.0;28.5;31.5;28.5;31.5;7.0;1.0;Enrolled
45.0;0.0;0.0;18.0;18.0;18.0;18.0;5.7125;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;5.35;1.0;Enrolled
18.0;0.0;0.0;18.0;15.0;12.0;6.0;4.088888888888889;1.0;Enrolled
0.0;0.0;0.0;30.0;30.0;0.0;0.0;0.0;2.0;Graduate
60.0;0.0;0.0;31.5;28.5;31.5;28.5;6.523529411764706;2.0;Graduate
67.5;0.0;0.0;30.0;37.5;30.0;37.5;7.254545454545454;2.0;Graduate
0.0;0.0;0.0;18.0;24.0;0.0;0.0;0.0;2.0;Graduate
0.0;0.0;0.0;34.5;30.0;0.0;0.0;0.0;2.0;Graduate
19.5;0.0;0.0;16.5;30.0;7.5;12.0;4.6000000000000005;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;6.27;2.0;Graduate
48.0;0.0;0.0;30.0;30.0;30.0;18.0;7.681818181818182;0.0;Dropout
60.0;0.0;0.0;28.5;31.5;28.5;31.5;8.992307692307692;2.0;Graduate
54.0;0.0;6.0;27.0;27.0;27.0;27.0;7.291666666666667;2.0;Graduate
60.0;0.0;0.0;18.0;15.0;18.0;15.0;8.4125;2.0;Graduate
15.0;0.0;0.0;22.5;19.5;6.0;0.0;4.125;2.0;Graduate
60.0;0.0;0.0;30.0;36.0;30.0;30.0;8.905882352941177;2.0;Graduate
0.0;0.0;0.0;30.0;30.0;0.0;0.0;0.0;2.0;Graduate
9.0;15.0;0.0;9.0;6.0;9.0;0.0;2.96;0.0;Dropout
15.0;0.0;0.0;30.0;30.0;15.0;0.0;2.122222222222222;1.0;Enrolled
60.0;0.0;0.0;26.0;32.0;26.0;32.0;7.653333333333333;0.0;Dropout
40.0;0.0;0.0;20.0;10.0;20.0;10.0;8.375;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;8.976923076923075;2.0;Graduate
52.5;0.0;0.0;19.5;24.0;19.5;24.0;6.155555555555555;1.0;Enrolled
60.0;0.0;0.0;30.0;30.0;30.0;30.0;8.233333333333333;2.0;Graduate
0.0;0.0;0.0;18.0;18.0;0.0;0.0;2.55;2.0;Graduate
60.0;0.0;0.0;9.0;6.0;9.0;6.0;7.159999999999999;2.0;Graduate
60.0;0.0;0.0;21.0;21.0;21.0;21.0;6.225;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;6.366666666666666;1.0;Enrolled
0.0;0.0;0.0;9.0;33.0;0.0;0.0;0.0;2.0;Graduate
60.0;0.0;0.0;22.5;19.5;22.5;19.5;7.2700000000000005;2.0;Graduate
0.0;0.0;0.0;30.0;36.0;0.0;0.0;0.0;2.0;Graduate
60.0;0.0;0.0;22.5;19.5;22.5;19.5;6.36;1.0;Enrolled
60.0;0.0;0.0;35.0;30.0;30.0;30.0;8.642857142857142;2.0;Graduate
0.0;0.0;0.0;13.5;30.0;0.0;0.0;0.8571428571428571;0.0;Dropout
60.0;0.0;0.0;27.0;33.0;27.0;33.0;7.407692307692307;2.0;Graduate
44.0;0.0;0.0;26.0;30.0;24.0;20.0;5.93076923076923;0.0;Dropout
60.0;0.0;0.0;22.5;19.5;22.5;19.5;5.7124999999999995;2.0;Graduate
18.0;0.0;0.0;30.0;12.0;18.0;0.0;2.766666666666667;2.0;Graduate
0.0;0.0;0.0;16.5;10.5;0.0;0.0;3.9;2.0;Graduate
31.5;0.0;0.0;16.5;22.5;16.5;6.0;4.575;1.0;Enrolled
60.0;0.0;0.0;9.0;6.0;9.0;6.0;8.540000000000001;2.0;Graduate
16.5;0.0;0.0;30.0;30.0;16.5;0.0;1.9899999999999998;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;8.4;2.0;Graduate
60.0;0.0;0.5;21.0;19.0;21.0;19.0;7.409090909090909;2.0;Graduate
0.0;0.0;0.0;6.0;9.0;0.0;0.0;0.0;2.0;Graduate
60.0;0.0;0.0;18.0;24.0;18.0;24.0;7.788888888888888;2.0;Graduate
60.0;0.0;0.0;22.5;24.0;22.5;19.5;8.59;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;7.86875;2.0;Graduate
0.0;0.0;0.0;9.0;10.5;0.0;0.0;2.0285714285714285;2.0;Graduate
0.0;21.0;0.0;18.0;16.5;0.0;0.0;2.9444444444444446;2.0;Graduate
7.5;0.0;0.0;18.0;15.0;7.5;0.0;2.466666666666667;1.0;Enrolled
60.0;0.0;0.0;30.0;30.0;30.0;30.0;6.566666666666666;2.0;Graduate
0.0;0.0;0.0;30.0;30.0;0.0;0.0;1.4777777777777776;0.0;Dropout
48.0;31.5;0.0;24.0;24.0;24.0;24.0;6.6;2.0;Graduate
0.0;0.0;0.0;16.5;25.5;0.0;0.0;0.0;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;8.309999999999999;2.0;Graduate
60.0;0.0;0.0;9.0;6.0;9.0;6.0;7.720000000000001;2.0;Graduate
60.0;0.0;0.0;18.0;15.0;18.0;15.0;6.199999999999999;2.0;Graduate
42.0;0.0;0.0;28.5;27.0;24.0;18.0;5.3375;2.0;Graduate
0.0;0.0;0.0;18.0;15.0;0.0;0.0;0.7;0.0;Dropout
48.0;0.0;0.0;18.0;24.0;18.0;12.0;5.966666666666667;1.0;Enrolled
60.0;0.0;0.0;30.0;30.0;30.0;30.0;5.911111111111111;2.0;Graduate
60.0;0.0;0.0;21.0;24.0;21.0;24.0;8.32;2.0;Graduate
33.0;23.0;0.0;9.0;7.0;9.0;0.0;4.672727272727273;1.0;Enrolled
60.0;0.0;0.0;30.0;30.0;30.0;30.0;7.866666666666666;2.0;Graduate
33.0;0.0;0.0;27.0;27.0;15.0;18.0;6.466666666666666;2.0;Graduate
60.0;0.0;0.0;18.0;24.0;18.0;24.0;8.088888888888889;2.0;Graduate
60.0;0.0;0.0;28.5;31.5;28.5;31.5;6.914285714285714;2.0;Graduate
24.0;0.0;6.0;18.0;6.0;12.0;6.0;4.971428571428571;0.0;Dropout
42.0;0.0;0.0;6.0;36.0;6.0;36.0;6.3999999999999995;2.0;Graduate
0.0;0.0;0.0;30.0;30.0;0.0;0.0;1.95;0.0;Dropout
60.0;0.0;0.0;30.0;30.0;30.0;30.0;8.34;2.0;Graduate
60.0;0.0;0.0;34.5;30.0;30.0;30.0;8.299999999999999;2.0;Graduate
0.0;0.0;0.0;26.0;15.0;0.0;0.0;0.6799999999999999;0.0;Dropout
43.5;0.0;0.0;18.0;15.0;10.5;15.0;5.7375;2.0;Graduate
0.0;0.0;0.0;30.0;30.0;0.0;0.0;0.0;2.0;Graduate
37.5;0.0;0.0;28.5;31.5;10.5;27.0;3.9;2.0;Graduate
60.0;0.0;0.0;27.0;15.0;27.0;15.0;6.24;2.0;Graduate
60.0;0.0;0.0;28.5;31.5;28.5;31.5;6.957142857142857;2.0;Graduate
18.0;30.0;0.0;6.0;24.0;6.0;12.0;5.175;2.0;Graduate
24.0;0.0;0.0;9.0;13.0;9.0;13.0;6.8;2.0;Graduate
60.0;0.0;0.0;28.5;31.5;28.5;31.5;6.2;2.0;Graduate
0.0;0.0;0.0;18.0;24.0;0.0;0.0;0.0;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;7.044444444444444;2.0;Graduate
42.0;0.0;0.0;24.0;18.0;12.0;12.0;4.655555555555555;1.0;Enrolled
60.0;0.0;0.0;9.0;6.0;9.0;6.0;8.08;1.0;Enrolled
60.0;0.0;0.0;30.0;30.0;30.0;30.0;7.040000000000001;2.0;Graduate
43.5;0.0;0.0;22.5;19.5;16.5;9.0;5.7;1.0;Enrolled
60.0;0.0;0.0;9.0;6.0;9.0;6.0;6.659999999999999;1.0;Enrolled
0.0;0.0;0.0;22.5;13.5;0.0;0.0;0.44000000000000006;0.0;Dropout
60.0;0.0;0.0;22.5;19.5;22.5;19.5;7.2299999999999995;1.0;Enrolled
0.0;0.0;0.0;30.0;30.0;0.0;0.0;0.0;2.0;Graduate
27.0;0.0;0.0;24.0;27.0;12.0;6.0;4.1;2.0;Graduate
60.0;0.0;0.0;18.0;24.0;18.0;24.0;6.211111111111111;2.0;Graduate
0.0;0.0;0.0;25.5;25.5;0.0;0.0;0.2111111111111111;2.0;Graduate
60.0;0.0;0.0;16.5;22.5;16.5;22.5;6.575;1.0;Enrolled
60.0;0.0;0.0;30.0;30.0;30.0;30.0;7.728571428571428;2.0;Graduate
30.7;0.0;0.0;30.0;30.0;24.0;6.0;3.19;0.0;Dropout
30.0;0.0;0.0;9.0;12.0;9.0;12.0;5.4875;1.0;Enrolled
0.0;0.0;0.0;24.0;18.0;0.0;0.0;0.0;2.0;Graduate
30.0;0.0;0.0;22.5;19.5;16.5;4.5;3.79;2.0;Graduate
24.0;0.0;0.0;18.0;15.0;13.5;10.5;3.6999999999999997;0.0;Dropout
60.0;0.0;0.0;18.0;24.0;18.0;24.0;7.688888888888889;1.0;Enrolled
0.0;0.0;0.0;30.0;30.0;0.0;0.0;1.2899999999999998;2.0;Graduate
61.0;0.0;0.0;32.0;29.0;32.0;29.0;7.423529411764706;2.0;Graduate
30.0;0.0;0.0;16.5;22.5;10.5;10.5;3.95;0.0;Dropout
60.0;0.0;0.0;18.0;24.0;18.0;24.0;6.388888888888889;2.0;Graduate
0.0;0.0;0.0;7.5;30.0;7.5;0.0;5.3;1.0;Enrolled
31.5;6.0;0.0;13.5;18.0;13.5;18.0;7.3428571428571425;2.0;Graduate
54.0;0.0;0.0;18.0;36.0;9.0;36.0;5.1125;1.0;Enrolled
18.0;0.0;0.0;15.0;30.0;0.0;18.0;4.828571428571428;0.0;Dropout
64.5;0.0;0.0;28.5;36.0;28.5;36.0;8.22;2.0;Graduate
60.0;0.0;0.0;9.0;6.0;9.0;6.0;8.0;1.0;Enrolled
12.0;0.0;0.0;6.0;6.0;6.0;6.0;5.7;0.0;Dropout
9.0;0.0;0.0;30.0;30.0;9.0;0.0;1.8090909090909089;0.0;Dropout
18.0;0.0;0.0;18.0;24.0;6.0;12.0;3.677777777777778;2.0;Graduate
39.0;0.0;0.0;28.5;31.5;21.0;18.0;5.7299999999999995;2.0;Graduate
0.0;0.0;0.0;9.0;12.0;0.0;0.0;0.5571428571428572;0.0;Dropout
60.0;0.0;0.0;28.5;31.5;28.5;31.5;8.11;2.0;Graduate
0.0;0.0;0.0;19.5;6.0;0.0;0.0;0.0;2.0;Graduate
60.0;0.0;0.0;18.0;15.0;18.0;15.0;7.975;2.0;Graduate
46.5;24.0;0.0;24.0;27.0;24.0;22.5;6.577777777777778;2.0;Graduate
0.0;0.0;0.0;30.0;30.0;0.0;0.0;0.0;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;8.058333333333334;2.0;Graduate
15.0;27.0;0.0;12.0;12.0;0.0;6.0;3.8444444444444446;1.0;Enrolled
64.0;0.0;0.0;10.5;11.5;10.5;11.5;8.0875;2.0;Graduate
26.0;0.0;0.0;9.0;12.0;9.0;5.0;5.4875;1.0;Enrolled
55.0;0.0;0.0;30.0;25.0;30.0;25.0;8.5;2.0;Graduate
0.0;0.0;0.0;30.0;30.0;0.0;0.0;0.0;2.0;Graduate
60.0;0.0;0.0;10.5;10.5;10.5;10.5;5.262499999999999;1.0;Enrolled
48.0;10.5;0.0;9.0;12.0;9.0;12.0;6.11;2.0;Graduate
60.0;0.0;0.0;31.5;28.5;31.5;28.5;7.42;2.0;Graduate
33.0;0.0;0.0;15.0;18.0;15.0;18.0;5.720000000000001;1.0;Enrolled
0.0;0.0;0.0;28.5;31.5;0.0;0.0;0.0;2.0;Graduate
60.0;0.0;0.0;9.0;6.0;9.0;6.0;7.140000000000001;2.0;Graduate
25.5;0.0;0.0;16.5;22.5;10.5;6.0;3.5375;2.0;Graduate
60.0;0.0;9.0;30.0;21.0;30.0;21.0;7.844444444444444;2.0;Graduate
18.0;0.0;0.0;30.0;30.0;12.0;6.0;3.611111111111111;0.0;Dropout
7.5;0.0;0.0;18.0;15.0;7.5;0.0;1.8888888888888888;0.0;Dropout
15.0;0.0;0.0;22.5;19.5;10.5;4.5;3.81;0.0;Dropout
18.0;0.0;0.0;6.0;22.5;6.0;12.0;5.975;1.0;Enrolled
60.0;0.0;0.0;30.0;30.0;30.0;30.0;7.32;2.0;Graduate
60.0;0.0;0.0;18.0;24.0;18.0;24.0;6.422222222222222;2.0;Graduate
30.0;0.0;0.0;30.0;30.0;24.0;6.0;3.84;0.0;Dropout
60.0;0.0;0.0;34.5;30.0;30.0;30.0;7.26;2.0;Graduate
18.5;0.0;0.0;9.0;12.0;4.5;5.0;3.45;1.0;Enrolled
0.0;0.0;0.0;19.5;27.0;0.0;0.0;0.0;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;8.309999999999999;2.0;Graduate
60.0;0.0;0.0;18.0;22.5;18.0;22.5;8.309090909090909;2.0;Graduate
0.0;0.0;0.0;21.0;21.0;0.0;0.0;0.0;2.0;Graduate
60.0;0.0;0.0;28.5;31.5;28.5;31.5;7.671428571428572;2.0;Graduate
51.0;0.0;0.0;18.0;24.0;18.0;24.0;5.277777777777778;1.0;Enrolled
27.0;0.0;0.0;31.5;30.0;4.5;18.0;3.65;1.0;Enrolled
45.0;0.0;0.0;30.0;30.0;21.0;24.0;5.4;2.0;Graduate
60.0;0.0;0.0;16.5;22.5;16.5;22.5;6.4875;2.0;Graduate
0.0;0.0;0.0;4.5;12.0;0.0;0.0;0.6;0.0;Dropout
51.0;0.0;0.0;30.0;30.0;21.0;30.0;5.544444444444444;1.0;Enrolled
55.5;0.0;0.0;33.0;27.0;33.0;22.5;5.941666666666666;2.0;Graduate
48.0;0.0;0.0;25.5;22.5;25.5;22.5;7.75;1.0;Enrolled
49.5;0.0;0.0;30.0;30.0;30.0;19.5;4.963636363636364;0.0;Dropout
24.0;0.0;0.0;30.0;30.0;6.0;18.0;3.95;1.0;Enrolled
12.0;0.0;0.0;30.0;30.0;6.0;6.0;3.45;0.0;Dropout
60.0;0.0;0.0;30.0;30.0;30.0;30.0;6.466666666666666;2.0;Graduate
0.0;0.0;0.0;9.0;12.0;0.0;0.0;0.0;2.0;Graduate
0.0;0.0;0.0;12.0;18.0;0.0;0.0;0.2;0.0;Dropout
14.0;0.0;0.0;9.0;12.0;9.0;5.0;4.6;1.0;Enrolled
60.0;0.0;0.0;9.0;6.0;9.0;6.0;7.359999999999999;2.0;Graduate
60.0;0.0;0.0;9.0;6.0;9.0;6.0;8.58;1.0;Enrolled
48.0;0.0;0.0;9.0;12.0;9.0;12.0;6.3125;2.0;Graduate
0.0;0.0;0.0;18.75;23.25;0.0;0.0;0.0;2.0;Graduate
51.0;0.0;0.0;9.0;6.0;0.0;6.0;6.18;2.0;Graduate
33.0;0.0;0.0;30.0;24.0;15.0;9.0;4.308333333333334;1.0;Enrolled
60.0;0.0;0.0;30.0;33.0;30.0;30.0;8.558823529411764;2.0;Graduate
60.0;0.0;0.0;28.5;31.5;28.5;31.5;5.7;2.0;Graduate
30.0;0.0;0.0;30.0;30.0;30.0;0.0;7.540000000000001;0.0;Dropout
60.0;0.0;0.0;30.0;30.0;30.0;30.0;6.08;1.0;Enrolled
42.0;0.0;0.0;29.0;29.0;29.0;11.0;6.193333333333333;2.0;Graduate
60.0;0.0;0.0;9.0;6.0;9.0;6.0;7.4;2.0;Graduate
35.0;0.0;0.0;15.0;20.0;15.0;20.0;8.5;0.0;Dropout
75.0;0.0;0.0;36.0;24.0;36.0;24.0;8.53076923076923;2.0;Graduate
60.0;0.0;0.0;9.0;6.0;9.0;6.0;7.5;1.0;Enrolled
60.0;0.0;0.0;33.0;27.0;33.0;27.0;6.928571428571429;0.0;Dropout
6.0;0.0;0.0;24.0;18.0;6.0;0.0;1.6833333333333333;0.0;Dropout
60.0;0.0;0.0;9.0;12.0;9.0;12.0;7.2625;2.0;Graduate
60.0;0.0;0.0;24.0;36.0;24.0;36.0;6.618181818181818;1.0;Enrolled
60.0;0.0;0.0;30.0;30.0;30.0;30.0;6.32;1.0;Enrolled
60.0;0.0;0.0;9.0;6.0;9.0;6.0;5.9399999999999995;2.0;Graduate
9.5;0.0;0.0;9.0;12.0;4.5;5.0;3.6375;1.0;Enrolled
0.0;0.0;0.0;18.0;24.0;0.0;0.0;0.0;0.0;Dropout
60.0;0.0;0.0;22.5;19.5;22.5;19.5;6.94;1.0;Enrolled
37.0;0.0;0.0;32.0;19.0;24.0;13.0;6.061538461538461;2.0;Graduate
60.0;0.0;0.0;26.0;32.0;26.0;32.0;8.246153846153845;2.0;Graduate
0.0;28.5;0.0;16.5;12.0;0.0;0.0;4.0;0.0;Dropout
60.0;0.0;0.0;30.0;30.0;30.0;30.0;9.015789473684212;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;8.316666666666666;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;6.988888888888889;2.0;Graduate
37.5;114.0;0.0;28.5;39.0;22.5;15.0;5.983333333333333;2.0;Graduate
60.0;0.0;0.0;28.5;31.5;28.5;31.5;5.4;2.0;Graduate
45.0;0.0;0.0;27.0;24.0;18.0;18.0;5.122222222222223;1.0;Enrolled
27.0;0.0;0.0;18.0;18.0;12.0;6.0;3.942857142857143;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;7.720000000000001;2.0;Graduate
31.5;0.0;0.0;28.5;25.5;7.5;15.0;4.427272727272728;1.0;Enrolled
54.0;0.0;0.0;30.0;30.0;24.0;30.0;5.18;1.0;Enrolled
39.0;0.0;0.0;30.0;30.0;15.0;24.0;5.0;2.0;Graduate
60.0;0.0;0.0;28.5;36.0;28.5;31.5;8.23076923076923;1.0;Enrolled
60.0;0.0;0.0;30.0;30.0;30.0;30.0;7.411111111111111;2.0;Graduate
48.0;0.0;9.0;30.0;30.0;30.0;9.0;7.7625;2.0;Graduate
60.0;0.0;0.0;12.0;36.0;12.0;30.0;6.266666666666667;2.0;Graduate
61.5;144.0;0.0;37.5;24.0;37.5;24.0;6.354545454545455;2.0;Graduate
54.0;0.0;0.0;30.0;30.0;30.0;24.0;6.688888888888889;2.0;Graduate
60.0;0.0;0.0;18.0;24.0;18.0;24.0;6.322222222222222;2.0;Graduate
60.0;0.0;0.0;9.0;6.0;9.0;6.0;8.059999999999999;2.0;Graduate
31.5;0.0;0.0;18.0;25.5;18.0;13.5;7.2;2.0;Graduate
0.0;0.0;0.0;30.0;30.0;0.0;0.0;0.0;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;8.166666666666666;2.0;Graduate
42.0;0.0;0.0;9.0;12.0;9.0;12.0;5.4625;0.0;Dropout
16.5;0.0;4.5;18.0;27.0;0.0;12.0;3.4499999999999997;2.0;Graduate
60.0;0.0;0.0;22.5;19.5;22.5;19.5;6.74;1.0;Enrolled
27.0;0.0;0.0;21.0;19.5;13.5;13.5;5.366666666666667;2.0;Graduate
60.0;0.0;0.0;27.0;33.0;27.0;33.0;7.953846153846154;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;7.68;2.0;Graduate
0.0;0.0;0.0;27.0;33.0;0.0;0.0;0.0;2.0;Graduate
4.5;0.0;0.0;30.0;30.0;4.5;0.0;1.52;1.0;Enrolled
60.0;0.0;0.0;30.0;30.0;30.0;30.0;8.01;2.0;Graduate
42.0;0.0;0.0;31.5;28.5;31.5;10.5;6.027272727272727;2.0;Graduate
60.0;0.0;0.0;31.5;28.5;31.5;28.5;7.381818181818182;2.0;Graduate
60.0;0.0;0.0;18.0;18.0;18.0;18.0;5.885714285714286;0.0;Dropout
30.0;0.0;0.0;30.0;30.0;30.0;0.0;6.82;2.0;Graduate
0.0;0.0;0.0;18.0;24.0;0.0;0.0;1.0142857142857142;0.0;Dropout
18.0;0.0;0.0;30.0;30.0;12.0;6.0;3.922222222222222;1.0;Enrolled
0.0;0.0;0.0;28.5;31.5;0.0;0.0;0.0;2.0;Graduate
0.0;0.0;0.0;30.0;30.0;0.0;0.0;1.75;2.0;Graduate
60.0;0.0;0.0;18.0;15.0;18.0;15.0;7.425;2.0;Graduate
40.5;0.0;0.0;22.5;24.0;22.5;18.0;6.2375;1.0;Enrolled
0.0;0.0;0.0;24.0;18.0;0.0;0.0;1.4555555555555555;0.0;Dropout
14.0;0.0;0.0;9.0;12.0;9.0;5.0;3.2375;2.0;Graduate
60.0;0.0;0.0;30.0;30.0;30.0;30.0;6.944444444444445;2.0;Graduate
0.0;0.0;0.0;24.0;18.0;0.0;0.0;2.0444444444444443;0.0;Dropout
0.0;0.0;0.0;18.0;18.0;0.0;0.0;0.0;2.0;Graduate
60.0;15.0;0.0;30.0;30.0;30.0;30.0;6.39;2.0;Graduate
64.5;0.0;18.0;30.0;30.0;30.0;16.5;7.3125;2.0;Graduate
